customer_id,customer_name,email,city,region,registration_date
1,Customer 1,customer1@example.com,Saint Petersburg,Northwest,2025-05-07
2,Customer 2,customer2@example.com,Moscow,Central,2025-08-27
3,Customer 3,customer3@example.com,Novosibirsk,Siberia,2024-04-24
4,Customer 4,customer4@example.com,Saint Petersburg,Northwest,2025-09-30
5,Customer 5,customer5@example.com,Moscow,Central,2025-08-23
6,Customer 6,customer6@example.com,Moscow,Central,2023-12-18
7,Customer 7,customer7@example.com,Yekaterinburg,Ural,2025-01-16
8,Customer 8,customer8@example.com,Kazan,Volga,2025-09-17
9,Customer 9,customer9@example.com,Saint Petersburg,Northwest,2025-06-25
10,Customer 10,customer10@example.com,Moscow,Central,2023-06-15
11,Customer 11,customer11@example.com,Yekaterinburg,Ural,2025-08-19
12,Customer 12,customer12@example.com,Novosibirsk,Siberia,2023-02-13
13,Customer 13,customer13@example.com,Kazan,Volga,2023-11-26
14,Customer 14,customer14@example.com,Kazan,Volga,2025-05-26
15,Customer 15,customer15@example.com,Yekaterinburg,Ural,2024-02-28
16,Customer 16,customer16@example.com,Novosibirsk,Siberia,2024-05-13
17,Customer 17,customer17@example.com,Yekaterinburg,Ural,2023-10-30
18,Customer 18,customer18@example.com,Yekaterinburg,Ural,2024-10-05
19,Customer 19,customer19@example.com,Moscow,Central,2023-10-15
20,Customer 20,customer20@example.com,Kazan,Volga,2024-09-24
21,Customer 21,customer21@example.com,Kazan,Volga,2024-10-21
22,Customer 22,customer22@example.com,Yekaterinburg,Ural,2024-10-28
23,Customer 23,customer23@example.com,Kazan,Volga,2023-07-30
24,Customer 24,customer24@example.com,Yekaterinburg,Ural,2024-04-13
25,Customer 25,customer25@example.com,Novosibirsk,Siberia,2023-08-15
26,Customer 26,customer26@example.com,Novosibirsk,Siberia,2024-10-21
27,Customer 27,customer27@example.com,Moscow,Central,2023-04-01
28,Customer 28,customer28@example.com,Kazan,Volga,2023-10-23
29,Customer 29,customer29@example.com,Moscow,Central,2023-12-19
30,Customer 30,customer30@example.com,Saint Petersburg,Northwest,2025-09-01
31,Customer 31,customer31@example.com,Yekaterinburg,Ural,2024-10-17
32,Customer 32,customer32@example.com,Saint Petersburg,Northwest,2025-07-30
33,Customer 33,customer33@example.com,Kazan,Volga,2024-11-01
34,Customer 34,customer34@example.com,Novosibirsk,Siberia,2024-01-06
35,Customer 35,customer35@example.com,Novosibirsk,Siberia,2025-05-24
36,Customer 36,customer36@example.com,Moscow,Central,2023-08-08
37,Customer 37,customer37@example.com,Moscow,Central,2023-12-16
38,Customer 38,customer38@example.com,Kazan,Volga,2024-11-17
39,Customer 39,customer39@example.com,Novosibirsk,Siberia,2024-11-10
40,Customer 40,customer40@example.com,Saint Petersburg,Northwest,2024-06-18
41,Customer 41,customer41@example.com,Saint Petersburg,Northwest,2023-08-26
42,Customer 42,customer42@example.com,Novosibirsk,Siberia,2023-07-04
43,Customer 43,customer43@example.com,Saint Petersburg,Northwest,2025-10-26
44,Customer 44,customer44@example.com,Moscow,Central,2023-06-27
45,Customer 45,customer45@example.com,Novosibirsk,Siberia,2024-08-22
46,Customer 46,customer46@example.com,Moscow,Central,2024-10-06
47,Customer 47,customer47@example.com,Saint Petersburg,Northwest,2025-12-29
48,Customer 48,customer48@example.com,Kazan,Volga,2023-11-15
49,Customer 49,customer49@example.com,Novosibirsk,Siberia,2023-11-19
50,Customer 50,customer50@example.com,Saint Petersburg,Northwest,2025-12-20
51,Customer 51,customer51@example.com,Novosibirsk,Siberia,2023-06-12
52,Customer 52,customer52@example.com,Saint Petersburg,Northwest,2024-07-23
53,Customer 53,customer53@example.com,Saint Petersburg,Northwest,2025-12-09
54,Customer 54,customer54@example.com,Kazan,Volga,2024-07-30
55,Customer 55,customer55@example.com,Moscow,Central,2023-12-20
56,Customer 56,customer56@example.com,Novosibirsk,Siberia,2023-04-13
57,Customer 57,customer57@example.com,Yekaterinburg,Ural,2023-09-15
58,Customer 58,customer58@example.com,Moscow,Central,2024-03-28
59,Customer 59,customer59@example.com,Yekaterinburg,Ural,2024-07-28
60,Customer 60,customer60@example.com,Saint Petersburg,Northwest,2023-04-24
61,Customer 61,customer61@example.com,Kazan,Volga,2023-03-15
62,Customer 62,customer62@example.com,Moscow,Central,2023-06-16
63,Customer 63,customer63@example.com,Kazan,Volga,2024-08-24
64,Customer 64,customer64@example.com,Yekaterinburg,Ural,2025-12-22
65,Customer 65,customer65@example.com,Kazan,Volga,2024-12-06
66,Customer 66,customer66@example.com,Saint Petersburg,Northwest,2023-01-01
67,Customer 67,customer67@example.com,Saint Petersburg,Northwest,2025-07-10
68,Customer 68,customer68@example.com,Yekaterinburg,Ural,2025-08-19
69,Customer 69,customer69@example.com,Yekaterinburg,Ural,2024-01-28
70,Customer 70,customer70@example.com,Kazan,Volga,2024-07-01
71,Customer 71,customer71@example.com,Kazan,Volga,2024-06-28
72,Customer 72,customer72@example.com,Yekaterinburg,Ural,2025-10-16
73,Customer 73,customer73@example.com,Saint Petersburg,Northwest,2024-06-03
74,Customer 74,customer74@example.com,Novosibirsk,Siberia,2024-02-23
75,Customer 75,customer75@example.com,Kazan,Volga,2024-07-27
76,Customer 76,customer76@example.com,Saint Petersburg,Northwest,2023-12-13
77,Customer 77,customer77@example.com,Novosibirsk,Siberia,2025-11-05
78,Customer 78,customer78@example.com,Kazan,Volga,2024-01-06
79,Customer 79,customer79@example.com,Novosibirsk,Siberia,2023-05-05
80,Customer 80,customer80@example.com,Moscow,Central,2024-03-01
81,Customer 81,customer81@example.com,Moscow,Central,2025-10-28
82,Customer 82,customer82@example.com,Saint Petersburg,Northwest,2023-07-23
83,Customer 83,customer83@example.com,Novosibirsk,Siberia,2023-02-15
84,Customer 84,customer84@example.com,Yekaterinburg,Ural,2023-05-05
85,Customer 85,customer85@example.com,Novosibirsk,Siberia,2024-12-27
86,Customer 86,customer86@example.com,Kazan,Volga,2025-03-25
87,Customer 87,customer87@example.com,Saint Petersburg,Northwest,2023-05-04
